category,Topic,final_topic_id,final_topic
festival,-1,0,噪声/未归类
festival,0,1,春节祝福、问候与团圆庆祝
festival,1,4,灯会、龙舟、中秋等具体节庆与仪式
festival,2,3,城市空间、华埠庆典与公共文化活动
festival,3,3,城市空间、华埠庆典与公共文化活动
festival,4,2,生肖年份、吉祥语与传统民俗符号
festival,5,1,春节祝福、问候与团圆庆祝
festival,6,7,疫情、迁徙、环境与社会经济议题
festival,7,2,生肖年份、吉祥语与传统民俗符号
festival,8,1,春节祝福、问候与团圆庆祝
festival,9,2,生肖年份、吉祥语与传统民俗符号
festival,10,6,品牌营销、体育时尚与娱乐媒介
festival,11,8,跨文化身份、族裔社群与节日解释
festival,12,1,春节祝福、问候与团圆庆祝
festival,13,8,跨文化身份、族裔社群与节日解释
festival,14,3,城市空间、华埠庆典与公共文化活动
festival,15,2,生肖年份、吉祥语与传统民俗符号
festival,16,2,生肖年份、吉祥语与传统民俗符号
festival,17,8,跨文化身份、族裔社群与节日解释
festival,18,6,品牌营销、体育时尚与娱乐媒介
festival,19,2,生肖年份、吉祥语与传统民俗符号
festival,20,1,春节祝福、问候与团圆庆祝
festival,21,3,城市空间、华埠庆典与公共文化活动
festival,22,2,生肖年份、吉祥语与传统民俗符号
festival,23,1,春节祝福、问候与团圆庆祝
festival,24,2,生肖年份、吉祥语与传统民俗符号
festival,25,2,生肖年份、吉祥语与传统民俗符号
festival,26,5,节日餐饮、红包消费与经济流通
festival,27,3,城市空间、华埠庆典与公共文化活动
festival,28,8,跨文化身份、族裔社群与节日解释
festival,29,7,疫情、迁徙、环境与社会经济议题
festival,30,4,灯会、龙舟、中秋等具体节庆与仪式
festival,31,5,节日餐饮、红包消费与经济流通
festival,32,3,城市空间、华埠庆典与公共文化活动
festival,33,1,春节祝福、问候与团圆庆祝
festival,34,2,生肖年份、吉祥语与传统民俗符号
festival,35,6,品牌营销、体育时尚与娱乐媒介
festival,36,3,城市空间、华埠庆典与公共文化活动
festival,37,1,春节祝福、问候与团圆庆祝
festival,38,2,生肖年份、吉祥语与传统民俗符号
festival,39,1,春节祝福、问候与团圆庆祝
festival,40,1,春节祝福、问候与团圆庆祝
festival,41,3,城市空间、华埠庆典与公共文化活动
festival,42,7,疫情、迁徙、环境与社会经济议题
festival,43,1,春节祝福、问候与团圆庆祝
festival,44,1,春节祝福、问候与团圆庆祝
festival,45,5,节日餐饮、红包消费与经济流通
festival,46,4,灯会、龙舟、中秋等具体节庆与仪式
festival,47,3,城市空间、华埠庆典与公共文化活动
festival,48,4,灯会、龙舟、中秋等具体节庆与仪式
festival,49,3,城市空间、华埠庆典与公共文化活动
festival,50,6,品牌营销、体育时尚与娱乐媒介
festival,51,3,城市空间、华埠庆典与公共文化活动
festival,52,3,城市空间、华埠庆典与公共文化活动
festival,53,7,疫情、迁徙、环境与社会经济议题
festival,54,6,品牌营销、体育时尚与娱乐媒介
festival,55,3,城市空间、华埠庆典与公共文化活动
festival,56,3,城市空间、华埠庆典与公共文化活动
festival,57,6,品牌营销、体育时尚与娱乐媒介
festival,58,6,品牌营销、体育时尚与娱乐媒介
festival,59,6,品牌营销、体育时尚与娱乐媒介
festival,60,7,疫情、迁徙、环境与社会经济议题
food,-1,0,噪声/未归类
food,0,1,具体中餐菜品、烹饪对象与口味类型
food,1,2,餐馆推荐、城市空间与外食品牌场景
food,2,1,具体中餐菜品、烹饪对象与口味类型
food,3,4,日常点餐、外卖、剩菜与家庭消费实践
food,4,3,节日仪式与族裔文化传统中的中餐
food,5,4,日常点餐、外卖、剩菜与家庭消费实践
food,6,3,节日仪式与族裔文化传统中的中餐
food,7,8,泛化评价、饮食偏好与弱语义闲聊
food,8,5,正宗性、身份边界与跨国本土化
food,9,1,具体中餐菜品、烹饪对象与口味类型
food,10,8,泛化评价、饮食偏好与弱语义闲聊
food,11,5,正宗性、身份边界与跨国本土化
food,12,7,媒体娱乐、平台文本与知识生产
food,13,1,具体中餐菜品、烹饪对象与口味类型
food,14,1,具体中餐菜品、烹饪对象与口味类型
food,15,2,餐馆推荐、城市空间与外食品牌场景
food,16,4,日常点餐、外卖、剩菜与家庭消费实践
food,17,2,餐馆推荐、城市空间与外食品牌场景
food,18,6,新闻事件、公共危机与种族化争议
food,19,8,泛化评价、饮食偏好与弱语义闲聊
food,20,1,具体中餐菜品、烹饪对象与口味类型
food,21,6,新闻事件、公共危机与种族化争议
food,22,2,餐馆推荐、城市空间与外食品牌场景
