Topic,final_topic_id,final_topic
-1,0,噪声/未归类
0,1,春节祝福、问候与团圆庆祝
1,4,灯会、龙舟、中秋等具体节庆与仪式
2,3,城市空间、华埠庆典与公共文化活动
3,3,城市空间、华埠庆典与公共文化活动
4,2,生肖年份、吉祥语与传统民俗符号
5,1,春节祝福、问候与团圆庆祝
6,7,疫情、迁徙、环境与社会经济议题
7,2,生肖年份、吉祥语与传统民俗符号
8,1,春节祝福、问候与团圆庆祝
9,2,生肖年份、吉祥语与传统民俗符号
10,6,品牌营销、体育时尚与娱乐媒介
11,8,跨文化身份、族裔社群与节日解释
12,1,春节祝福、问候与团圆庆祝
13,8,跨文化身份、族裔社群与节日解释
14,3,城市空间、华埠庆典与公共文化活动
15,2,生肖年份、吉祥语与传统民俗符号
16,2,生肖年份、吉祥语与传统民俗符号
17,8,跨文化身份、族裔社群与节日解释
18,6,品牌营销、体育时尚与娱乐媒介
19,2,生肖年份、吉祥语与传统民俗符号
20,1,春节祝福、问候与团圆庆祝
21,3,城市空间、华埠庆典与公共文化活动
22,2,生肖年份、吉祥语与传统民俗符号
23,1,春节祝福、问候与团圆庆祝
24,2,生肖年份、吉祥语与传统民俗符号
25,2,生肖年份、吉祥语与传统民俗符号
26,5,节日餐饮、红包消费与经济流通
27,3,城市空间、华埠庆典与公共文化活动
28,8,跨文化身份、族裔社群与节日解释
29,7,疫情、迁徙、环境与社会经济议题
30,4,灯会、龙舟、中秋等具体节庆与仪式
31,5,节日餐饮、红包消费与经济流通
32,3,城市空间、华埠庆典与公共文化活动
33,1,春节祝福、问候与团圆庆祝
34,2,生肖年份、吉祥语与传统民俗符号
35,6,品牌营销、体育时尚与娱乐媒介
36,3,城市空间、华埠庆典与公共文化活动
37,1,春节祝福、问候与团圆庆祝
38,2,生肖年份、吉祥语与传统民俗符号
39,1,春节祝福、问候与团圆庆祝
40,1,春节祝福、问候与团圆庆祝
41,3,城市空间、华埠庆典与公共文化活动
42,7,疫情、迁徙、环境与社会经济议题
43,1,春节祝福、问候与团圆庆祝
44,1,春节祝福、问候与团圆庆祝
45,5,节日餐饮、红包消费与经济流通
46,4,灯会、龙舟、中秋等具体节庆与仪式
47,3,城市空间、华埠庆典与公共文化活动
48,4,灯会、龙舟、中秋等具体节庆与仪式
49,3,城市空间、华埠庆典与公共文化活动
50,6,品牌营销、体育时尚与娱乐媒介
51,3,城市空间、华埠庆典与公共文化活动
52,3,城市空间、华埠庆典与公共文化活动
53,7,疫情、迁徙、环境与社会经济议题
54,6,品牌营销、体育时尚与娱乐媒介
55,3,城市空间、华埠庆典与公共文化活动
56,3,城市空间、华埠庆典与公共文化活动
57,6,品牌营销、体育时尚与娱乐媒介
58,6,品牌营销、体育时尚与娱乐媒介
59,6,品牌营销、体育时尚与娱乐媒介
60,7,疫情、迁徙、环境与社会经济议题
