Topic,final_topic_id,final_topic
-1,0,噪声/未归类
0,1,具体中餐菜品、烹饪对象与口味类型
1,2,餐馆推荐、城市空间与外食品牌场景
2,1,具体中餐菜品、烹饪对象与口味类型
3,4,日常点餐、外卖、剩菜与家庭消费实践
4,3,节日仪式与族裔文化传统中的中餐
5,4,日常点餐、外卖、剩菜与家庭消费实践
6,3,节日仪式与族裔文化传统中的中餐
7,8,泛化评价、饮食偏好与弱语义闲聊
8,5,正宗性、身份边界与跨国本土化
9,1,具体中餐菜品、烹饪对象与口味类型
10,8,泛化评价、饮食偏好与弱语义闲聊
11,5,正宗性、身份边界与跨国本土化
12,7,媒体娱乐、平台文本与知识生产
13,1,具体中餐菜品、烹饪对象与口味类型
14,1,具体中餐菜品、烹饪对象与口味类型
15,2,餐馆推荐、城市空间与外食品牌场景
16,4,日常点餐、外卖、剩菜与家庭消费实践
17,2,餐馆推荐、城市空间与外食品牌场景
18,6,新闻事件、公共危机与种族化争议
19,8,泛化评价、饮食偏好与弱语义闲聊
20,1,具体中餐菜品、烹饪对象与口味类型
21,6,新闻事件、公共危机与种族化争议
22,2,餐馆推荐、城市空间与外食品牌场景
23,6,新闻事件、公共危机与种族化争议
24,1,具体中餐菜品、烹饪对象与口味类型
25,4,日常点餐、外卖、剩菜与家庭消费实践
26,1,具体中餐菜品、烹饪对象与口味类型
27,4,日常点餐、外卖、剩菜与家庭消费实践
28,5,正宗性、身份边界与跨国本土化
29,4,日常点餐、外卖、剩菜与家庭消费实践
30,3,节日仪式与族裔文化传统中的中餐
31,4,日常点餐、外卖、剩菜与家庭消费实践
32,8,泛化评价、饮食偏好与弱语义闲聊
33,6,新闻事件、公共危机与种族化争议
34,6,新闻事件、公共危机与种族化争议
35,6,新闻事件、公共危机与种族化争议
36,5,正宗性、身份边界与跨国本土化
37,2,餐馆推荐、城市空间与外食品牌场景
38,8,泛化评价、饮食偏好与弱语义闲聊
39,4,日常点餐、外卖、剩菜与家庭消费实践
40,7,媒体娱乐、平台文本与知识生产
41,5,正宗性、身份边界与跨国本土化
42,1,具体中餐菜品、烹饪对象与口味类型
43,7,媒体娱乐、平台文本与知识生产
44,5,正宗性、身份边界与跨国本土化
45,4,日常点餐、外卖、剩菜与家庭消费实践
46,1,具体中餐菜品、烹饪对象与口味类型
47,4,日常点餐、外卖、剩菜与家庭消费实践
