Topic,Count,Name,Representation,Representative_Docs,final_topic_id,final_topic
-1,4579,-1_amp_chicken_get_noodles,"['amp', 'chicken', 'get', 'noodles', 'new', 'dish', 'one', 'go', 'home', 'bad']","['rumbly tummy: one pensacola woman mistook bad chinese food actually labor pains, even know pregnant!', 'still boggles ’s mind come home make chinese food instead ordering in. ginger pork fried rice, sichuan long beans (homemade) xo sauce, gai lan oyster sauce. tell chinese people time. homecooking…', ""general tso's home taste, may find new chinese faves &amp; best dumplings town""]",0,噪声/未归类
0,959,0_dumplings_dumpling_new year_year,"['dumplings', 'dumpling', 'new year', 'year', 'soup', 'new', 'making', 'make', 'pork', 'lunar']","['make soup dumplings chinese new year', 'like dumplings?', 'dumplings dumplings chinese']",1,具体中餐菜品、烹饪对象与口味类型
1,679,1_best_san_chinatown_place,"['best', 'san', 'chinatown', 'place', 'la', 'st', 'favorite', 'spot', 'san francisco', 'francisco']","['get best chinese food san francisco ttps://sf.eater.com/maps/best-chinese-restaurants-food-san-francisco', 'best chinese food restaurant cleveland ?', 'best chinese food restaurants mississauga']",2,餐馆推荐、城市空间与外食品牌场景
2,537,2_noodles_hand_hand pulled_pulled,"['noodles', 'hand', 'hand pulled', 'pulled', 'pulled noodles', 'noodle', 'hakka', 'rice noodles', 'hakka noodles', 'spicy']","['mt : brb, we’re eating spicy hand-pulled chinese noodles downtown food cart - downtownpdx pdxeats', 'i’m noodle girl — want noodles every meal day. italian pastas bucatini tagliatelle, vietnamese rice noodles, japanese soba ramen noodles...and, course, thick hand-cut noodles xi’an province china (and o…', ""watch magic hand-pulled noodles. 🍜..later year, welcome new restaurant. noodle den boast array traditional northern chinese dishes. famous chef guoming “sam” xin team's hand-pulled noodles dumplings.""]",1,具体中餐菜品、烹饪对象与口味类型
3,524,3_ordering_delivery_guy_worth,"['ordering', 'delivery', 'guy', 'worth', 'delivery guy', 'got', '40', 'time', 'phone', 'going']","['like ordering chinese food! like it!', 'ordering chinese food wbu', 'ordering chinese food']",4,日常点餐、外卖、剩菜与家庭消费实践
4,412,4_christmas_eve_tradition_christmas day,"['christmas', 'eve', 'tradition', 'christmas day', 'day', 'xmas', 'holiday', 'family', 'movie', 'hope']","['chinese food christmas 🐼🎋 duh faded', 'chinese food christmas. nytcooking', 'ordered chinese food. christmas']",3,节日仪式与族裔文化传统中的中餐
5,359,5_night_dinner_birthday_day,"['night', 'dinner', 'birthday', 'day', 'sunday', 'friday', 'bed', 'tomorrow', 'friday night', 'happy']","['nothing better chinese food friday night! freakin good!!! tgif', 'chinese food beer last night. perfect, rainy friday night! plans tonight?', 'cider. chinese food. league legends. best friday night!!']",4,日常点餐、外卖、剩菜与家庭消费实践
6,351,6_jewish_christmas_tradition_american,"['jewish', 'christmas', 'tradition', 'american', 'xmas', 'jew', 'movie', 'eve', 'families', 'movies']","[""chinese food christmas 'a sacred jewish ritual'"", 'i’m jewish, eat chinese food christmas…', ""chinese food christmas 'a sacred jewish ritual'""]",3,节日仪式与族裔文化传统中的中餐
7,253,7_much_bad_never_worst,"['much', 'bad', 'never', 'worst', 'play', 'got', 'feel', 'weight', 'ever', 'could']","['eating much $1 chinese food', ""'d much chinese food"", 'ate wayyy much chinese food today. ..holy moly.....']",8,泛化评价、饮食偏好与弱语义闲聊
8,251,8_american_america_authentic_history,"['american', 'america', 'authentic', 'history', 'americans', 'chang', 'modern', 'explores', 'americanized', 'culture']","['pretty sure american-chinese food symbolizes america me...o.o roadtoesl murica', 'extraordinary history chinese food america', ""that's american chinese food. that's priced chinese food america.""]",5,正宗性、身份边界与跨国本土化
9,236,9_sum_dim_dim sum_best dim,"['sum', 'dim', 'dim sum', 'best dim', 'new year', 'new', 'year', 'brunch', 'las vegas', 'las']","['make dim sum chinese new year.', 'chinese christmas dim sum time!', 'me: japan.them: good dim sum?.me: .....dim sum chinese']",1,具体中餐菜品、烹饪对象与口味类型
10,233,10_fruit_gt_japan_french,"['fruit', 'gt', 'japan', 'french', 'delicacy', 'travel', 'gt gt', 'heads', 'table', 'scratch']","['🍍🍍taiwanese chefs getting creative pineapple dishes — sweet-and-sour take beef noodles soup — china banned imports fruit island', '🍍taiwanese chefs getting creative pineapple dishes — sweet-and-sour take beef noodles soup — china banned imports fruit island (via )', 'travel somewhere new every bite food republic: norwegianjoy savor fusion foods + cultures around globe. travel peru ceviche, japan sushi rolls, hearty helping noodles china. via foodiechats']",8,泛化评价、饮食偏好与弱语义闲聊
11,226,11_india_indian_manchurian_kolkata,"['india', 'indian', 'manchurian', 'kolkata', 'indo', 'delhi', 'mumbai', 'desi', 'festival', 'became']","[""indian chinese food became india's favorite cuisine via"", 'think china always hated india indian chinese food delicious popular own. 😎', 'expresseditorial | gobi manchurian: chinese food india amongst marvels modern cuisine, inextricably chinese indian..']",5,正宗性、身份边界与跨国本土化
12,207,12_movie_netflix_episode_watch,"['movie', 'netflix', 'episode', 'watch', 'movies', 'watching', 'amp', 'film', 'star', 'night']","['chinese food movie', 'chinese food movie !', 'chinese food movie ✡️']",7,媒体娱乐、平台文本与知识生产
13,202,13_hot pot_pot_hot_hotpot,"['hot pot', 'pot', 'hot', 'hotpot', 'chain', 'rat', 'spicy', 'broth', 'wei', 'value']","['wikihow make chinese hot pot lunarnewyear', 'chinese hot pot majindad', 'chinese hot pot!']",1,具体中餐菜品、烹饪对象与口味类型
14,175,14_fried rice_rice_fried_egg,"['fried rice', 'rice', 'fried', 'egg', 'egg fried', 'sausage', 'recipe', 'make', 'chicken', 'stir']","['yangzhou fried rice, 💯% like indian chinese 😉', 'try chinese chicken fried rice 😍', 'chinese chicken fried rice 🍚']",1,具体中餐菜品、烹饪对象与口味类型
15,167,15_nyc_new york_york_new,"['nyc', 'new york', 'york', 'new', 'york city', 'city', 'manhattan', 'brooklyn', 'ny', 'guide']","['eat chinese food new york', 'eat chinese food new york', 'new york chinese food undefeated.']",2,餐馆推荐、城市空间与外食品牌场景
16,166,16_breakfast_lunch_leftover_morning,"['breakfast', 'lunch', 'leftover', 'morning', 'woke', 'dinner', 'congee', 'nap', 'sleep', 'time']","['chinese food breakfast morningwin', 'chinese food breakfast?', 'leftover chinese food breakfast lunch &amp; dinner today']",4,日常点餐、外卖、剩菜与家庭消费实践
17,158,17_london_festival_sgv_best,"['london', 'festival', 'sgv', 'best', 'chinesenewyear', 'takeaway', 'england', 'manchester', 'market', 'city']","['get great chinese food london', 'istanbul designers chinese food london restaurant:', ""what's best chinese food london?""]",2,餐馆推荐、城市空间与外食品牌场景
18,156,18_police_man_delivery_delivery driver,"['police', 'man', 'delivery', 'delivery driver', 'driver', 'shot', 'delivery man', 'shooting', 'worker', 'queens']","['chinese food delivery man fights robbers, police say', 'police: man robbed dover food delivery driver gun, took chinese food', 'chinese food delivery man shot killed northeast: local food delivery driver gunned while...']",6,新闻事件、公共危机与种族化争议
19,137,19_love_news_exciting_said,"['love', 'news', 'exciting', 'said', 'sure', 'mandarin', 'girl', 'love much', 'loved', 'make sure']","['u really love chinese food', 'love chinese food!!!', 'love chinese food 😍😍😍 ~ sam']",8,泛化评价、饮食偏好与弱语义闲聊
20,131,20_fortune_cookie_cookies_fortune cookies,"['fortune', 'cookie', 'cookies', 'fortune cookies', 'got', 'two', 'give', 'bag', 'get', 'us']","['order chinese food....and give two fortune cookies....which fortune follow? fortune limit? many? 🤔😂', 'fortune cookie chinese food tonight :)', 'justice scalia get chinese food fortune cookies contain musings constitution?']",1,具体中餐菜品、烹饪对象与口味类型
21,127,21_racist_trump_reporter_white,"['racist', 'trump', 'reporter', 'white', 'term', 'clean', 'saying', 'question', 'asking', 'president']","[""oan reporter roasted asking trump saying 'chinese food' racist: 'dumbest question' ever"", 'oan reporter roasted asking trump saying ""chinese food"" racist: ""dumbest question"" ever', 'oan reporter roasted asking trump saying ""chinese food"" racist: ""dumbest question"" ever']",6,新闻事件、公共危机与种族化争议
22,123,22_toronto_vancouver_best_montreal,"['toronto', 'vancouver', 'best', 'montreal', 'late night', 'late', 'canada', 'spots', 'cheap', 'night']","['go cheap chinese street food toronto toronto', 'get best chinese food toronto.', ""hunt toronto's best chinese food""]",2,餐馆推荐、城市空间与外食品牌场景
23,114,23_coronavirus_covid_virus_19,"['coronavirus', 'covid', 'virus', '19', 'fear', 'racist', 'racism', 'local', 'support', 'spread']","['no, get coronavirus chinese food. drink bleach | ranjana srivastava', 'politicians eating chinese food cameras? needles found strawberries. auspol coronavirus ..as coronavirus fears spread, chinese restaurants report 80pc drop business', ""verify: no, can't get coronavirus eating chinese food""]",6,新闻事件、公共危机与种族化争议
24,107,24_duck_peking duck_peking_beijing,"['duck', 'peking duck', 'peking', 'beijing', 'presents', 'crispy duck', 'tan', 'crispy', 'roast', 'roast duck']","['happy national peking duck day! think &amp; start peking duck bus tour around atlanta chinese restaurants. nationalpekingduckday', 'luxe chinese restaurant serves flaming peking duck tableside:', 'chinese new year: replicating nixon zhou enlai’s peking duck dinner pongplomacy uschina40']",1,具体中餐菜品、烹饪对象与口味类型
25,102,25_want_need_wanna_im,"['want', 'need', 'wanna', 'im', 'gonna', 'right', 'rn', 'paid', 'ya', 'get']","['want chinese food', 'think want chinese food....', 'want chinese food....']",4,日常点餐、外卖、剩菜与家庭消费实践
